scenario_factor,EC_mix_kgCO2e_m3,rho_d_kg_m3
0.8,889.2846768827685,1438.5321100917402
0.8,861.9510672121974,1438.5321100917402
0.8,836.5515394585188,1438.5321100917402
0.8,812.8878293003413,1438.5321100917402
0.8,770.1016319467486,1438.5321100917402
0.8,878.8125061063025,1438.5321100917402
0.8,850.2415260537346,1438.5321100917402
0.8,823.7865448674638,1438.5321100917402
0.8,799.220886606575,1438.5321100917402
0.8,755.0019286115665,1438.5321100917402
0.8,960.5627380707572,1558.4097859327198
0.8,930.6526441316722,1558.4097859327198
0.8,902.8932534480401,1558.4097859327198
0.8,877.0606451882393,1558.4097859327198
0.8,830.4254285318566,1558.4097859327198
0.8,950.2132570047133,1558.4097859327198
0.8,919.0906219104503,1558.4097859327198
0.8,890.2993405089866,1558.4097859327198
0.8,863.5869122956082,1558.4097859327198
0.8,815.5586520247692,1558.4097859327198
0.8,957.4686833338889,1558.4097859327198
0.8,927.1920134584844,1558.4097859327198
0.8,899.1196491570481,1558.4097859327198
0.8,873.0193177062367,1558.4097859327198
0.8,825.9581199873588,1558.4097859327198
0.8,945.8465463220639,1558.4097859327198
0.8,914.2239598525422,1558.4097859327198
0.8,885.010061094448,1558.4097859327198
0.8,857.9397425689347,1558.4097859327198
0.8,809.3506423329262,1558.4097859327198
0.8,1040.3128782344936,1688.27726809378
0.8,1007.877008682283,1688.27726809378
0.8,977.7765371602716,1688.27726809378
0.8,949.768003634659,1688.27726809378
0.8,899.211116456471,1688.27726809378
0.8,1029.0883950087539,1688.27726809378
0.8,995.3386887101296,1688.27726809378
0.8,964.1204152152401,1688.27726809378
0.8,935.1590604009236,1688.27726809378
0.8,883.0941294836892,1688.27726809378
0.8,1036.9571987876952,1688.27726809378
0.8,1004.1241171615005,1688.27726809378
0.8,973.6846024717919,1688.27726809378
0.8,945.3861193648327,1688.27726809378
0.8,894.3680601682431,1688.27726809378
0.8,1024.3526023747806,1688.27726809378
0.8,990.0612138307877,1688.27726809378
0.8,958.3851727766255,1688.27726809378
0.8,929.036267583134,1688.27726809378
0.8,876.3642667772667,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
0.8,1060.974205542371,1688.27726809378
